Year-Month,HM_total_sales_in_million,CF_total_sales_in_million,FF_total_sales_in_million
Jan-2016,5.598648,2.352671,1.39966
Feb-2016,5.84021,2.394392,1.448157
Mar-2016,5.909899,2.461847,1.453511
Apr-2016,5.799715,2.455722,1.461148
May-2016,6.080407,2.533501,1.507504
Jun-2016,6.056108,2.504226,1.514266
Jul-2016,6.163373,2.547327,1.553107
Aug-2016,6.537463,2.723694,1.6209
Sep-2016,6.382884,2.61786,1.609076
Oct-2016,6.343865,2.663903,1.611235
Nov-2016,6.490244,2.748759,1.661883
Dec-2016,6.340076,2.599316,1.559588
Jan-2017,6.685774,2.808128,1.698295
Feb-2017,7.152982,2.911445,1.759942
Mar-2017,6.817973,2.886869,1.732267
Apr-2017,6.863707,2.813861,1.715924
May-2017,6.964094,2.878324,1.754566
Jun-2017,7.167558,2.962089,1.748524
Jul-2017,6.84083,2.944269,1.751563
Aug-2017,7.497876,3.173062,1.888539
Sep-2017,7.352926,3.063462,1.809174
Oct-2017,7.170291,2.987291,1.806878
Nov-2017,7.549336,3.096246,1.88712
Dec-2017,7.707776,3.186172,1.942176
Jan-2018,7.887763,3.234631,1.926117
Feb-2018,7.990228,3.328733,2.02881
Mar-2018,7.654312,3.139645,1.883343
Apr-2018,7.947352,3.285062,2.019461
May-2018,8.186393,3.438398,2.063039
Jun-2018,7.629715,3.256752,1.95405
Jul-2018,8.012517,3.338673,1.987216
Aug-2018,8.06025,3.467244,2.014826
Sep-2018,7.922921,3.32723,1.997118
Oct-2018,6.781234,2.86202,1.730781
Nov-2018,7.386402,3.052314,1.860819
Dec-2018,6.954506,2.874069,1.71052
Jan-2019,7.568561,3.128423,1.861751
Feb-2019,7.350256,3.061564,1.866627
Mar-2019,7.267799,3.003545,1.80298
Apr-2019,7.317841,3.073157,1.859086
May-2019,7.620829,3.175075,1.890213
Jun-2019,7.124175,2.921766,1.752262
Jul-2019,6.956441,2.852679,1.738859
Aug-2019,7.19066,2.995435,1.768857
Sep-2019,7.14286,3.023767,1.815026
Oct-2019,6.992833428036631,2.9159602861109515,1.7692779689926244
Nov-2019,6.76671365339397,2.832735340560542,1.7199179137682428
Dec-2019,6.959918721884372,2.9466676515241392,1.7684876006914416
Jan-2020,7.053461578511433,3.008567389374988,1.804341379349164
Feb-2020,6.753305194533817,2.830220801391984,1.7149701325816629
Mar-2020,6.550112289447884,2.753600746818506,1.6824418860766321
Apr-2020,6.763782913776105,2.8818160559099457,1.7223128128732237
May-2020,6.791869075533947,2.927181006742086,1.7630159924373874
Jun-2020,6.560774781671211,2.783502942253198,1.6950975923213283
Jul-2020,6.346937776710566,2.7036323647793026,1.6542792795406376
Aug-2020,6.551305356446847,2.824833396087397,1.6984341861383292
Sep-2020,6.609327801171373,2.8783201686092905,1.7367503854771895
